tweet_id,text,intent,escalate,notes
1261987,"Hi @SpotifyCares - webplayer not working for me. Have tried various browsers, cache deletes etc. Any known issues at present? Thx",,,
1870176,@SpotifyCares I signed up for student premium but I'm still receiving ads. Any help?,,,
860922,"@SpotifyCares 

my daily mix keeps stopping for no reason. it’s not my internet connection.

help please. thanks.",,,
1272625,"@SpotifyCares When playing a playlist on Wi-Fi or mobile data, it refuses to play the radio based off the playlist, I have made sure it's switched on.",,,
1098089,@115888 @117168 @SpotifyCares I 'm trying to update my payment options bc I got a new credit card and reregister my premium account and I keep getting the oops your card is having a bad day. please help me!!!,,,
2593448,"Make the JLS discography available in Argentina, I'm getting tired of your broken promithes promithes. @SpotifyCares https://t.co/fD0z1ukXql",,,
2138977,"@SpotifyCares Another app updated, no iPhone X full screen support. What the hell are you guys playing at?!?! You’re a massive company, even the small app companies have iPhone X full screen support. You need to up your game right away or I’m going to simply switch to Apple Music. Disgusting!",,,
2859016,@115888 @SpotifyCares  what has happened to the layout on the iPhone app.  Is this to do with the zoom view? This is now unusable. https://t.co/BeClKHvKcv,,,
567969,@SpotifyCares This video shows it https://t.co/7qjdKJJeGH,,,
887918,@SpotifyCares Im on an iphone 6+ btw,,,
1181057,@SpotifyCares is there a way to listen to Spotify on xbox one without the music coming through the Elgato?? @21330 @XboxSupport,,,
578114,@SpotifyCares I already replied. Thanks!,,,
1942605,"@SpotifyCares my acct keeps telling me I can’t download any more songs, so I un-downloaded a bunch but it’s still saying I have no room :(",,,
2069987,"@SpotifyCares hello, I want to transfer the ownership for my premium family account but I can't access my previous account. what to do?",,,
566276,@SpotifyCares macOS High Sierra 10.13.2 Public Beta (Build 17C79a). Spotify 1.0.68.407.g6864aaaf.,,,
944371,@SpotifyCares @115888 @SpotifyCares,,,
2391979,@SpotifyCares @688879 It’s getting beyond a joke now. Your developers have had since June to get the app ready. Really is shameful.,,,
753972,@SpotifyCares __email__,,,
1517203,"@SpotifyCares This only works if you format the SD card as ""portable storage"", which is how I have it on my phone, I opted for int fmt with my new device.",,,
1725333,@SpotifyCares Which website should I link the song from?,,,
1395871,@SpotifyCares I use chrome.,,,
2439896,@SpotifyCares I'll have to have a go tomorrow night,,,
2577795,"@SpotifyCares iPhone 7 Plus, iOS 11.0.2",,,
1760771,"@SpotifyCares Here you go. Does not show up in search results but it was still in my play history:
https://t.co/0qgC65wAx9",,,
2442033,@SpotifyCares could you get involved with this please? Thinking of going to Apple Music otherwise. https://t.co/fTITdyHp6q cheers.,,,
1532345,@SpotifyCares I shall drop you a DM in a bit. Seems to be happening to others though looking online and the Spotify forum thingy!,,,
1869192,@SpotifyCares I tried that when I first noticed the other day. It reappeared after a few days. First on Radio page. Each station thumbnail pulsed/flashed https://t.co/5fDCAXnhNj,,,
1471773,"@SpotifyCares I have an iPhone 6, with iOS 11.0.2 software. The version of Spotify I have is 8.4.20.535",,,
1943158,"@SpotifyCares The sound was coming from the banner ads, which is why I was confused. I'm not sure which version I have now, how would I check?",,,
1275676,@SpotifyCares hi! I've been trying to DM you guys about my artist verification. Can someone help me out? Thanks!,,,
2283776,@663683 @663680 @118266 @SpotifyCares anak radio sw emang gak cocok make spotify..,,,
1972504,@SpotifyCares I want to delete an old account that I no longer have access to through email and forgot the password 😔,,,
2795587,"@SpotifyCares It’s all good guys, it’s working now! Thank you for responding anyways👍🏻",,,
323065,@SpotifyCares Thank you! OS - 10.11.6 Spotify version - 1.0.65.320.gac7a8e02,,,
997196,@SpotifyCares @356133 same here 504 Gateway Time-out,,,
369857,"@SpotifyCares My student discount/hulu isn't working even after doing the steps in the FAQ, what's your email?",,,
1117796,what yall doing about this @SpotifyCares https://t.co/lD1ervQbPn,,,
1670459,@SpotifyCares Looks ok so far.....,,,
336728,"@SpotifyCares Hey is there a way to change the Family Administrator name (ie, the name who the invite comes from)?",,,
337084,Hey @115888 I want to auto-block edited versions of songs. It's impossible to enjoy @16197 &amp; @16198 edited. @SpotifyCares,,,
629905,@SpotifyCares I hope that this time it will take less than 8 months! 😉 https://t.co/zwzobGJvME,,,
1695040,@SpotifyCares Hello. The web player's been on and off all day. https://t.co/Jk9rXvcPIn,,,
315114,@SpotifyCares That fixed it! Thanks a lot and have a nice day/night! https://t.co/iNocKhGgLv,,,
416823,@SpotifyCares so as frustrating as you guys are they did an awesome job at helping Thankyou again 🤷‍♀️🤷‍♀️🤷‍♀️🙌🙌🙌,,,
1703341,"Dear @115888 @SpotifyCares I will (and others too) really appreciate it if you can let us download more, will you? Please! https://t.co/PBxbpiGUKj",,,
2653035,@SpotifyCares Why is my music on my phone randomly pausing and say it's playing suggested songs rather than the playlist I asked for?,,,
2175363,"@SpotifyCares Please pass on these thoughts!
You're not yet letting users create true ""radio stations"" if it's just crossfaded (not segued) music with no control over timings and no host links - but.. you're SO close.. https://t.co/7Ua8IOADQo",,,
150647,@SpotifyCares I have a £4.99/month student account. Why did you charge me £9.99 this month?!,,,
547892,um @spotifycares why isnt pencey prep on spotify anymore pls put it back,,,
2264775,@SpotifyCares Thank you for the reply!,,,
2520094,@SpotifyCares My premium has been cancelled even though I have a receipt and paid for the month on the 26th of November. It won’t let me fix this and I am not happy.,,,
1148107,@SpotifyCares i’ve noticed it does it when my service switches from 3G to LTE or vice versa. Or if I do anything involving the internet.,,,
1238308,"@SpotifyCares Yes sir, thanks 👍",,,
2853001,"@SpotifyCares For some reason, I can't log in, even though I typed in the correct username and password.",,,
2624179,"hi @SpotifyCares, i can't change my nickname back to before i'd connected my account with Facebook. after disconnection it still doesnt work",,,
2148243,@SpotifyCares https://t.co/liSOs0cies,,,
2070414,"@SpotifyCares when I listen to Bon Iver, it plays their songs, but shows other artists’ album covers and info instead.",,,
557258,"@SpotifyCares Hi. As of a few days ago, my Android Spotify app will no longer send music to my Sonos system. It shows the devices, selecting them does nothing. The Sonos app can send to Sonos.  I uninstalled and reinstalled both apps.",,,
404756,"@SpotifyCares Any chance to in future add the option to sort the playlists one's following? As in: own pl's, spotify's, friends, ...?",,,
311699,@SpotifyCares Thank you much,,,
226788,"@SpotifyCares Already done that too, wayyy ahead of you. No joy.",,,
2802531,@SpotifyCares Sent through DM!,,,
1897298,@SpotifyCares thank you!,,,
1037626,"@SpotifyCares iP 7 Plus, iP Pro 10,5 &amp; iPAir. All runs iOS 10.3.3. Even the tracks offline simply don't open. I noticed this only in this band all tracks",,,
429658,"@SpotifyCares yep, i get that, but the only option is Chile... do i need to move to another country to actually change my country?",,,
2718572,@SpotifyCares It happens on my xbox and samsung s7 edge and it should be the latest version of the app i tried a test account you gave me last time i said about the glitch and the same thing happened,,,
2890051,@SpotifyCares What do you mean of mobile provider? https://t.co/FvdcOx5rwK,,,
223054,@SpotifyCares  I have to pay if I want to not shuffle through my own personal music that I own from CDs? Are you serious?,,,
2577781,"@SpotifyCares Yes, I saw it. thanks 😊",,,
327154,"@SpotifyCares whenever I play music on Spotify, it doesn’t come up on the control Centre on my phone so can’t change songs when out the app?",,,
2692972,@SpotifyCares just sent you you a request by DM. Let me know if you can help. Thanks,,,
699076,@SpotifyCares It’s the worst thing i have ever experienced.,,,
1643556,"@SpotifyCares hello spotify if you could please help me with this that would be great, i really need to listen to jessica simpson",,,
1000265,@SpotifyCares Its saying 'It looks like you are using your Facebook credentials' so i log into my facebook to edited it and it still wont let me remove it,,,
2051157,"@SpotifyCares hello, got an email that my email address was changed. I'm not behind the request. Can we DM?",,,
2449893,@SpotifyCares What's the deal here? Why the cap? https://t.co/4H1k7jlxhf,,,
2598008,"@SpotifyCares No error message, a little gray bar pops up at the bottom of the screen when I tap a song but it doesn’t play at all :(",,,
2276880,@SpotifyCares Will do,,,
1739272,@SpotifyCares Tack!,,,
2110155,@SpotifyCares I don’t have Spotify on my desktop. How can I get you the information you need from the phone app,,,
2653183,@SpotifyCares 8.4.26.770 arm v7 🤔,,,
418214,"@SpotifyCares I used facebook to sign in before and now when I try logging in, it doesn't let me sign in with my facebook password nor my facebook itself.",,,
2360629,@SpotifyCares I have an unknown device accessing my Spotify called “spotifyamb0.2.1” what should I do to make it so that the device can no longer connect???,,,
1989704,2/2 is not from a country where Spotify is offered. This is clearly not true. Not sure if you don't want my business. @SpotifyCares,,,
1490387,@SpotifyCares I finally fixed it by installing from the win10 app store ...,,,
1352476,@SpotifyCares Even includes marching bands and drum lines. Thank you spotify.,,,
833501,@SpotifyCares primo,,,
1146229,"@SpotifyCares any reason that when I create playlists it says ""by 21egqp37obp2ybundetm6q7ya"" and not my name? how do I change this?",,,
2277603,"@SpotifyCares Yes, have over 500 songs on one and there’s no easy way to get from top to bottom.",,,
2414538,@694027 @115888 @SpotifyCares updated to today’s version and the app just crashes on my X. sucks.,,,
341107,"@SpotifyCares But that's it, I can add it to pl's and view artist etc just can't listen. 😳",,,
566343,@SpotifyCares What does means DM?. Thanx you,,,
1220183,"Yo @SpotifyCares @115888, when are y'all launching in South Africa? 😥",,,
513057,@SpotifyCares volume dropped to below half as a result of changing streaming from another device to phone. How do I get it back?,,,
1691150,@SpotifyCares  Im paying for an account i cant get into at all ! Please help.,,,
97660,"@SpotifyCares I'm having trouble with the password you requested I reset. I keep getting an error message: The CSRF token is invalid. Please please resubmit form.

Got a solution for me?",,,
2153126,@SpotifyCares Randomization broke and no sort option on Android mobile app. Serious? I'll be elsewhere till you get your shit together.,,,
837601,"@SpotifyCares Hello, I need help with something, I'd rather not publicly tweet.",,,
2560540,@SpotifyCares Ok so they have to make the artist profile for me  and all of that ? I shouldn’t try/do it myself ?,,,
2139353,@188805 @148826 @43839 @115888 @SpotifyCares please fix this soon,,,
2175491,@SpotifyCares will reputation be on Spotify on November 10th or not?,,,
2390520,@688460 @SpotifyCares Oalah.  Coba pake wadoyok mas. Kali aja worth it 😆😆,,,
863678,"@SpotifyCares Android 7.0
Spotify 8.4.26.770",,,
2058838,@spotifycares My experience with the app has been significantly worse since the touch-preview feature was taken away.,,,
1832633,"@SpotifyCares My phone is a Huawei P8 with 5.0.1 Android version.
Spotify 8.4.23.784
Thanks.",,,
1703331,@SpotifyCares its ok i have you in chat from your website now thanks,,,
837214,@SpotifyCares Hi I'm looking to buy a Fitbit Ionic. Will a Spotify app be available for this platform?,,,
482490,@SpotifyCares this has been happening for months and i'm going crazy! i will name my first born son 'spotify cares' if you can help me please and thank you in advance,,,
2246459,@SpotifyCares Here’s some video so you can hear both tracks. https://t.co/nvzdxl4X7u,,,
2733028,@SpotifyCares I HAVE BEEN TRYING TO CANCEL MY SUBSCRIPTION FOR MONTHS UNABLE TO CONTACT YOU PLEASE CANCEL ACCT FOR ROBIN MEAD @766074  LAST FOUR # CC 5558 DO THIS IMMEDIATELY. THANK YOU ROBIN MEAD,,,
1205506,Have a good lunch sa lahat except sa spotify na di pa rin binabalik premium ko!!! 😠 balik pera na lang ano @SpotifyCares,,,
2734599,"@SpotifyCares It’s an iPhone 7, 11.1 update, not sure how to tell what version Spotify is...  but there’s no queue button in the top corner anymore https://t.co/ost5uihoRs",,,
649915,"ok @SpotifyCares I want to sign up for a 3 month membership for $9.99 canadian, but I can't. What's going on?",,,
2460876,@SpotifyCares Hi have you any contact with the support team of @123765?,,,
2835003,@149503 @SpotifyCares what is this #spotiamb0.2.1. Is someone hacking my account? Please investigate. I am concerned with my #privacy. We don’t expect such issues with premium #spotify services. Thanks. https://t.co/rxIGGWnmOB,,,
652509,@SpotifyCares I see… How many votes does it take until a feature gets implemented?,,,
2307186,"@SpotifyCares Hey, can you help me get my songs on my iPod and keep them on my computer. I cannot play songs only shuffle but on the computer version I can play any song.",,,
1380905,@SpotifyCares No luck,,,
809620,@SpotifyCares Yeah it still gives me an error message. I called Starbucks and they said they would have to disconnect my numbers and make a new profile,,,
1695218,@SpotifyCares you guys charged my account even though I don't have premium!,,,
1065552,"@SpotifyCares all it does is tell me that the song is unavailable, and if i have the file on my computer I can import it",,,
2337111,@115888 @SpotifyCares possible to play playlists without any swearing?,,,
1446600,"@SpotifyCares Laptop, W11, I had to uninstall the damn app...",,,
1122959,"Anyone else getting really strange or explicit @115888 ads, even with premium? @SpotifyCares",,,
1171624,"@SpotifyCares upgraded to family account, redeem code does not work😡 what do you suggest?",,,
2198087,@SpotifyCares why can't you have a phone line?  It takes hours to exchange a few simple messages on Twitter #madness,,,
681870,"@SpotifyCares We have spotify for family, i have my account details but we have forgotten the username and password for the main account",,,
539213,"@SpotifyCares This link worked. But FYI, the link I showed you is what came in my promo email.",,,
1949783,@SpotifyCares Haha was waiting for that. “Pay us money and well stop smashing your ears with our overly loud adds” 😂😂🤘 smooth,,,
2752834,"@SpotifyCares I have been logged out of my account when I tried to reset my password, it said “CSRF token is invalid”. Help. https://t.co/etKjM55L5C",,,
2076923,@SpotifyCares Yep it was none of them to my knowledge. Offline mode was turned off so wasn't that and the app is the most recent. It was working at 1am?,,,
1826396,@SpotifyCares I am using an iPhone 6s and the most recent update on app and iPhone software,,,
504274,@SpotifyCares Just updated the app again to 8.4.30.688 (newest I can download from Play Store) and the problem persists,,,
2320576,hello @SpotifyCares @115888 we need this https://t.co/EJ79c6FCJ4,,,
1827261,"@SpotifyCares that's not an answer. Why can't I change my address for a family account? Why do you have this rigid, brittle system?",,,
446145,@SpotifyCares @115888 https://t.co/HB53yfHj15 wrong artist link for @5713. Should be https://t.co/6UKb84aeSV ;),,,
563531,"@SpotifyCares Arigato, Danke, Gracias, Grazie, Merci, Spasiba, Takk, Thanks, Toda",,,
2308812,@SpotifyCares Why do you guys treat us like dumb idiots? There piles of basic feature you guys have yet to implement like a settings button for Spotify Web. Having to copy every link into my desktop client as opposed to expecting the link to be opened by the client is dumb,,,
836212,@SpotifyCares hi I am trying to add on to my family’s account however the email link to join is not working. Can you help?,,,
1290551,@SpotifyCares Thanks for the fast response and passing my feedback to the dev team!,,,
1440075,"@SpotifyCares Done that as well, even reinstalled with different app accounts and users",,,
1265633,"@SpotifyCares Hmmmm, seems I cannot pick a Bewerbung password. Incorrect token. 🤔",,,
1084530,"@SpotifyCares Not on my phone, just my computer! Rebooting does nothing - I might try uninstall and reinstall Spotify",,,
1065571,"@SpotifyCares holaaaa is there any chance you can release more clean versions of popular artists albums like Travis Scott, j cole etc???",,,
2970802,"@115888 @SpotifyCares , please add all of vixx @113977 music to Spotify!! Thanks !",,,
